MCPV_ID	MCPV_KODAS	MCPV_PAV	pirk_obj_objt_id	kategorija	MCPV_VERSIJA
40	01117120-7	Džiutas	1		1
41	01117130-0	Linai	1		1
42	01118000-7	Natūrali guma ir lateksas bei panašūs gaminiai	1		1
43	01118100-8	Natūrali guma	1		1
44	01118200-9	Natūralus lateksas	1		1
45	01118210-2	Latekso gaminiai	1		1
46	01119000-4	Specifinėse srityse naudojami augalai	1		1
47	01119100-5	Augalai, naudojami parfumerijoje, farmacijoje arba kaip insekticidai ar panašiems tikslams 	1		1
48	01119110-8	Parfumerijoje naudojami augalai	1		1
49	01119120-1	Farmacijoje naudojami augalai	1		1
50	01119130-4	Insekticidams naudojami augalai	1		1
51	01119140-7	Fungicidams arba kitiems panašiems tikslams naudojami augalai	1		1
52	01119200-6	Augalų sėklos, naudojamos specifinėse srityse	1		1
53	01120000-4	Daržovės, sodininkystės ir medelyno produktai	1		1
54	01121000-1	Daržovės	1		1
55	01121100-2	Šakniavaisiai ir šakniagumbiai	1		1
56	01121110-5	Šakniavaisiai	1		1
57	01121111-2	Burokėliai	1		1
58	01121112-9	Morkos	1		1
59	01121113-6	Svogūnai	1		1
60	01121114-3	Ropės	1		1
61	01121120-8	Šakniagumbiai	1		1
62	01121200-3	Vaisinės daržovės	1		1
63	01121210-6	Pupelės	1		1
64	01121211-3	Stambiasėklės pupos	1		1
65	01121212-0	Žaliosios pupelės	1		1
66	01121213-7	Raudonžiedės pupelės	1		1
67	01121220-9	Žirniai	1		1
68	01121221-6	Daržo žirniai	1		1
69	01121222-3	Šparaginiai žirniai	1		1
70	01121230-2	Pipirai	1		1
71	01121240-5	Pomidorai	1		1
72	01121250-8	Cukinijos	1		1
73	01121260-1	Grybai	1		1
74	01121270-4	Agurkai	1		1
75	01121300-4	Lapinės daržovės	1		1
76	01121310-7	Salotos	1		1
77	01121320-0	Salotų lapai	1		1
78	01121330-3	Artišokai	1		1
79	01121340-6	Špinatai	1		1
80	01121400-5	Kopūstinės daržovės	1		1
81	01121410-8	Kopūstai	1		1
82	01121420-1	Žiediniai kopūstai	1		1
83	01121430-4	Brokoliai	1		1
84	01121440-7	Briuselio kopūstai	1		1
85	01121500-6	Daržovių sėklos	1		1
86	01122000-8	Sodininkystės produktai	1		1
87	01122100-9	Gyvi augalai, svogūnėliai, šakniavaisiai, auginiai ir ūgliai	1		1
88	01122200-0	Skintos gėlės	1		1
89	01122210-3	Gėlių kompozicijos ir puokštės	1		1
90	01122300-1	Gėlių ir sėklos	1		1
91	01130000-7	Vaisiai, riešutai, gėrimams gaminti tinkami ir prieskoniniai augalai 	1		1
92	01131000-4	Vaisiai ir riešutai	1		1
93	01131100-5	Atogrąžų vaisiai ir riešutai	1		1
94	01131110-8	Atogrąžų vaisiai	1		1
95	01131111-5	Bananai	1		1
96	01131112-2	Ananasai	1		1
97	01131113-9	Mangai	1		1
98	01131114-6	Datulės	1		1
99	01131115-3	Razinos	1		1
100	01131116-0	Figos	1		1
101	01131117-7	Avokados	1		1
102	01131118-4	Kiviai	1		1
103	01131120-1	Kokoso riešutai	1		1
104	01131200-6	Citrusų vaisiai	1		1
105	01131210-9	Citrinos	1		1
106	01131220-2	Apelsinai	1		1
107	01131230-5	Greipfrutai	1		1
108	01131240-8	Mandarinai	1		1
109	01131250-1	Žaliosios citrinos	1		1
110	01131300-7	Ne atogrąžų vaisiai	1		1
111	01131310-0	Uogos	1		1
112	01131311-7	Serbentai	1		1
113	01131312-4	Agrastai	1		1
114	01131313-1	Braškės	1		1
115	01131314-8	Avietės	1		1
116	01131315-5	Spanguolės	1		1
117	01131320-3	Obuoliai, kriaušės ir svarainiai	1		1
118	01131321-0	Obuoliai	1		1
119	01131322-7	Kriaušės	1		1
120	01131323-4	Svarainiai	1		1
121	01131330-6	Kaulavaisiai	1		1
122	01131331-3	Abrikosai	1		1
123	01131332-0	Persikai	1		1
124	01131333-7	Vyšnios	1		1
125	01131334-4	Slyvos	1		1
126	01131340-9	Vynuogės	1		1
127	01131341-6	Valgomosios vynuogės	1		1
128	01131342-3	Vyninės vynuogės	1		1
129	01131400-8	Alyvuogės	1		1
130	01131500-9	Vaisių sėklos	1		1
131	01132000-1	Gėrimams gaminti naudojami augalai	1		1
132	01132100-2	Kavos pupelės	1		1
133	01132200-3	Arbatmedžiai	1		1
134	01132300-4	Matė	1		1
135	01132400-5	Kakavos pupelės	1		1
136	01133000-8	Neperdirbti prieskoniai	1		1
137	01200000-9	Gyvi gyvūnai ir gyvūninės kilmės produktai	1		1
138	01210000-2	Galvijai ir jų produktai	1		1
139	01211000-9	Galvijai	1		1
140	01211100-0	Gyvi galvijai	1		1
141	01211200-1	Veršiukai	1		1
142	01212000-6	Šviežias karvės pienas	1		1
143	01213000-3	Bulių sperma	1		1
144	01220000-5	Ūkio gyvūnai ir jų produktai	1		1
145	01221000-2	Gyvuliai	1		1
146	01221100-3	Avys	1		1
147	01221200-4	Ožkos	1		1
148	01221300-5	Arkliai	1		1
149	01222000-9	Šviežias avių ir ožkų pienas	1		1
150	01222100-0	Avių pienas	1		1
151	01222200-1	Ožkų pienas	1		1
152	01223000-6	Vilna ir gyvūnų plaukai	1		1
153	01223100-7	Kirpta vilna	1		1
154	01223200-8	Gyvūnų plaukai	1		1
155	01230000-8	Kiaulės	1		1
156	01240000-1	Gyvi naminiai paukščiai ir kiaušiniai	1		1
157	01241000-8	Gyvi naminiai paukščiai	1		1
158	01242000-5	Kiaušiniai	1		1
159	01250000-4	Gyvi smulkūs gyvūnai ir jų produktai	1		1
160	01251000-1	Triušiai ir kiškiai	1		1
161	01251100-2	Triušiai	1		1
162	01251200-3	Kiškiai	1		1
163	01252000-8	Gyvūninės kilmės produktai	1		1
164	01252100-9	Natūralus medus	1		1
165	01252200-0	Sraigės	1		1
166	01252300-1	Valgomi gyvūninės kilmės produktai	1		1
167	01252400-2	Vaškas	1		1
168	01300000-0	Mišraus ūkininkavimo produktai	1		1
169	01900000-6	Žemės ūkio produktai	1		1
170	02000000-4	Miškininkystės ir medienos ruošos produktai 	1		1
171	02100000-5	Mediena	1		1
172	02110000-8	Spygliuočių mediena	1		1
173	02120000-1	Atogrąžų medžių mediena	1		1
174	02130000-4	Kurui skirta mediena	1		1
175	02140000-7	Neapdorota mediena	1		1
176	02150000-0	Minkšta mediena	1		1
177	02160000-3	Medienos atliekos	1		1
178	02170000-6	Panaudotos medienos atliekos	1		1
179	02180000-9	Rąstai	1		1
180	02181000-6	Mediniai poliai	1		1
181	02182000-3	Kuolai	1		1
182	02190000-2	Padarinė mediena	1		1
183	02191000-9	Padarinės medienos gaminiai	1		1
184	02200000-6	Dervos	1		1
185	02210000-9	Balzamai	1		1
186	02220000-2	Šelakas	1		1
187	02300000-7	Kamštiena	1		1
188	02400000-8	Miškininkystės produkcija	1		1
189	02410000-1	Dekoratyviniai augalai, žolė, samanos ar kerpės	1		1
190	02500000-9	Medelynų produktai	1		1
191	02510000-2	Augalai	1		1
192	02511000-9	Metiniai augalai	1		1
193	02512000-6	Gėlių svogūnėliai	1		1
194	02513000-3	Krūmai	1		1
195	02520000-5	Medžiai	1		1
196	05000000-5	Žuvys, žvejybos produktai ir kiti šalutiniai žvejybos pramonės produktai	1		1
197	05100000-6	Žuvys	1		1
198	05110000-9	Gyvos žuvys	1		1
199	05120000-2	Žuvis, švieža ar atšaldyta	1		1
200	05121000-9	Plekšniažuvės, šviežios ar atšaldytos	1		1
201	05121100-0	Jūriniai liežuviai, švieži ar atšaldyti	1		1
202	05121200-1	Plekšnė, šviežia ar atšaldyta	1		1
203	05122000-6	Menkių šeimos žuvys, šviežios ar atšaldytos	1		1
204	05122100-7	Menkė, šviežia ar atšaldyta	1		1
205	05122200-8	Saida, šviežia ar atšaldyta	1		1
206	05122300-9	Merlūžos, šviežios ar atšaldytos	1		1
207	05122400-0	Juodadėmės menkės, šviežia ar atšaldyta	1		1
208	05123000-3	Silkė, šviežia ar atšaldyta	1		1
209	05124000-0	Tunas, šviežias ar atšaldytas	1		1
210	05125000-7	Merlangai, švieži ar atšaldyti	1		1
211	05126000-4	Mailius, šviežias ar atšaldytas	1		1
212	05127000-1	Lašiša, šviežia ar atšaldyta	1		1
213	05130000-5	Žuvų mėsa	1		1
214	05200000-7	Vėžiagyviai	1		1
215	05210000-0	Švieži vėžiagyviai	1		1
216	05220000-3	Austrės	1		1
217	05230000-6	Kiautuotieji vėžiagyviai	1		1
218	05240000-9	Vandens bestuburiai	1		1
219	05300000-8	Vandens produktai	1		1
220	05310000-1	Koralai ir kiti panašūs produktai	1		1
221	05320000-4	Gamtinės pintys	1		1
222	05330000-7	Jūriniai vandens augalai	1		1
223	05331000-4	Dumbliai	1		1
224	05400000-9	Šalutiniai žvejybos pramonės produktai	1		1
225	05410000-2	Žuvies miltai	1		1
226	10000000-3	Akmens bei rusvosios anglys, durpės ir kiti su akmens anglimis susiję produktai	1		1
227	10100000-4	Akmens anglys ir iš akmens anglių pagamintas kuras	1		1
228	10110000-7	Akmens anglys	1		1
229	10120000-0	Iš akmens anglių pagamintas kuras	1		1
230	10121000-7	Antracitas	1		1
231	10122000-4	Briketai	1		1
232	10123000-1	Kietasis kuras	1		1
233	10124000-8	Iškastinis kuras	1		1
234	10125000-5	Medienos kuras	1		1
235	10200000-5	Lignitas ir durpės	1		1
236	10210000-8	Lignitas	1		1
237	10220000-1	Durpės	1		1
238	10300000-6	Su akmens anglimis susiję produktai	1		1
239	10310000-9	Nevalyta alyva	1		1
240	10320000-2	Kokso gaminiai	1		1
241	10321000-9	Koksas	1		1
242	11000000-0	Nafta, gamtinės dujos, alyva ir kiti panašūs produktai	1		1
243	11100000-1	Nafta (žalia)	1		1
244	11200000-2	Gamtinės dujos	1		1
245	11300000-3	Alyva ir kiti panašūs produktai	1		1
246	11310000-6	Bituminis arba naftingasis skalūnas	1		1
247	12000000-7	Urano ir torio rūda	1		1
248	12100000-8	Urano rūda	1		1
249	12200000-9	Torio rūda	1		1
250	13000000-4	Metalų rūdos	1		1
251	13100000-5	Geležies rūda	1		1
252	13200000-6	Spalvotųjų metalų rūda	1		1
253	13210000-9	Vario rūda	1		1
254	13220000-2	Nikelio rūda	1		1
255	13230000-5	Aliuminio rūda	1		1
256	13240000-8	Brangiųjų metalų rūda	1		1
257	13250000-1	Švino rūda	1		1
258	13260000-4	Cinko rūda	1		1
259	13270000-7	Alavo rūda	1		1
260	13300000-7	Įvairios rūdos	1		1
261	14000000-1	Kasybos, karjerų eksploatavimo ir kiti panašūs produktai	1		1
262	14100000-2	Statybiniai akmenys	1		1
263	14110000-5	Statybai skirtas akmuo	1		1
264	14111000-2	Marmuras ir kalkinis statybinis akmuo	1		1
265	14111100-3	Marmuras	1		1
266	14111200-4	Travertinas	1		1
267	14112000-9	Įvairūs statybiniai akmenys	1		1
268	14112100-0	Granitas	1		1
269	14112200-1	Smiltainis	1		1
270	14112300-2	Bazaltas	1		1
271	14112400-3	Kelkraščio akmenys	1		1
272	14120000-8	Kalkakmenis, gipsas ir kreida	1		1
273	14121000-5	Kalkakmenis ir gipsas	1		1
274	14121100-6	Gipsas	1		1
275	14121200-7	Kalkės	1		1
276	14121210-0	Kalkių milteliai	1		1
277	14121300-8	Kalkakmenis	1		1
278	14122000-2	Kreida ir dolomitas	1		1
279	14122100-3	Kreida	1		1
280	14122200-4	Dolomitas	1		1
281	14130000-1	Skalūnas	1		1
282	14200000-3	Smėlis ir molis	1		1
283	14210000-6	Žvyras, smėlis, skaldyti akmenys ir užpildai	1		1
284	14211000-3	Smėlis	1		1
285	14211100-4	Natūralus smėlis	1		1
286	14212000-0	Susmulkinti akmenys, skalda, akmens milteliai, žvirgždas, žvyras, skalda, akmenų mišiniai, smėlio ir žvyro mišiniai ir kiti užpildai	1		1
287	14212100-1	Gargždas ir žvyras	1		1
288	14212110-4	Gargždas	1		1
289	14212120-7	Žvyras	1		1
290	14212200-2	Užpildai	1		1
291	14212210-5	Smėlio ir žvyro mišinys	1		1
292	14212300-3	Skalda ir skaldyti akmenys	1		1
293	14212310-6	Balastas	1		1
294	14212320-9	Suskaldytas granitas	1		1
295	14212330-2	Suskaldytas bazaltas	1		1
296	14212400-4	Dirvožemis	1		1
297	14212410-7	Viršutinė dirvožemio danga	1		1
298	14212420-0	Podirvis	1		1
299	14212430-3	Susmulkinti akmenys	1		1
300	14213000-7	Makadamas, dervotas makadamas ir gudroniniai smėliai	1		1
301	14213100-8	Makadamas	1		1
302	14213200-9	Dervotas makadamas	1		1
303	14213300-0	Gudroniniai smėliai	1		1
304	14220000-9	Molis ir kaolinas	1		1
305	14221000-6	Molis	1		1
306	14222000-3	Kaolinas	1		1
307	14300000-4	Mineralinės iškasenos chemijos pramonei ir trąšoms gaminti	1		1
308	14310000-7	Mineralinės iškasenos trąšoms gaminti	1		1
309	14311000-4	Gamtinis kalcis, aliuminio kalcio fosfatai ir neapdorotos gamtinės kalio druskos	1		1
310	14311100-5	Gamtinis kalcis	1		1
311	14311200-6	Aliuminio kalcio fosfatai	1		1
312	14311300-7	Neapdorotos gamtinės kalio druskos	1		1
313	14312000-1	Geležies piritas	1		1
314	14312100-2	Nedegtas geležies piritas	1		1
315	14320000-0	Mineralinės iškasenos chemijos pramonei	1		1
316	14400000-5	Druskos ir grynas natrio chloridas	1		1
317	14410000-8	Akmens druska	1		1
318	14420000-1	Jūros druska	1		1
319	14430000-4	Išgarinta druska ir grynas natrio chloridas	1		1
320	14440000-7	Druska keliams barstyti	1		1
321	14450000-0	Druskos tirpalas	1		1
322	14500000-6	Su kasyba ir karjerų eksploatavimu susiję produktai	1		1
323	14510000-9	Bitumas ir asfaltas	1		1
324	14511000-6	Bitumas	1		1
325	14512000-3	Asfaltas	1		1
326	14520000-2	Brangakmeniai ir pusbrangiai akmenys, pemza, švitras, natūralios šlifuojamosios medžiagos, kiti mineralai ir brangieji metalai	1		1
327	14521000-9	Brangakmeniai ir pusbrangiai akmenys	1		1
328	14521100-0	Brangakmeniai	1		1
329	14521110-3	Deimantai	1		1
330	14521120-6	Rubinai	1		1
331	14521130-9	Smaragdai	1		1
332	14521140-2	Brangakmenių milteliai arba dulkės	1		1
333	14521200-1	Pusbrangiai akmenys	1		1
334	14521210-4	Pusbrangių akmenų milteliai arba dulkės	1		1
335	14522000-6	Pramoniniai deimantai, pemza, švitras ir kitos natūralios šlifuojamosios medžiagos	1		1
336	14522100-7	Pemza	1		1
337	14522200-8	Pramoniniai deimantai	1		1
338	14522300-9	Švitras	1		1
339	14522400-0	Natūralios šlifuojamosios medžiagos	1		1
340	14523000-3	Mineralai, brangieji metalai ir panašūs produktai	1		1
341	14523100-4	Mineralai	1		1
342	14523200-5	Auksas	1		1
343	14523300-6	Sidabras	1		1
344	14523400-7	Platina	1		1
345	15000000-8	Maisto produktai ir gėrimai	1		1
346	15100000-9	Gyvūninės kilmės produktai, mėsa ir mėsos produktai	1		1
347	15110000-2	Mėsa	1		1
348	15111000-9	Galvijų mėsa	1		1
349	15111100-0	Jautiena	1		1
350	15111110-3	Sūdyta jautiena	1		1
351	15111140-2	Jaučio skerdena	1		1
352	15111190-7	Jautienos išpjovos	1		1
353	15111191-4	Bifšteksas	1		1
354	15111200-1	Veršiena	1		1
355	15111210-4	Veršienos gabalai	1		1
356	15112000-6	Naminiai paukščiai	1		1
357	15112100-7	Šviežia paukštiena, neišdarinėti gyvūnai	1		1
358	15112110-0	Žąsys	1		1
359	15112120-3	Kalakutai	1		1
360	15112130-6	Vištos	1		1
361	15112140-9	Antys	1		1
362	15112200-8	Paukštienos gabalai	1		1
363	15112210-1	Vištienos gabalai	1		1
364	15112220-4	Kalakutienos gabalai	1		1
365	15112230-7	Antienos, žąsienos ir perlinės vištos mėsos gabalai	1		1
366	15112300-9	Naminių paukščių kepenys	1		1
367	15112310-2	Kepeninė	1		1
368	15113000-3	Kiauliena	1		1
369	15113100-4	Kiaulienos kapoti gabalai	1		1
370	15113300-6	Kiaulės skerdena	1		1
371	15114000-0	Subproduktai	1		1
372	15115000-7	Ėriena ir aviena	1		1
373	15115100-8	Ėriena	1		1
374	15115200-9	Aviena	1		1
375	15117000-1	Ožkiena	1		1
376	15118000-8	Arkliena, asilo, mulo arba arklėno mėsa	1		1
377	15118100-9	Arkliena	1		1
378	15118900-7	Asilo, mulo arba arklėno mėsa	1		1
379	15119000-5	Įvairi mėsa	1		1
380	15119100-6	Triušiena	1		1
381	15119200-7	Kiškiena	1		1
382	15119300-8	Medžiojamųjų gyvūnų mėsa	1		1
383	15119400-9	Varlių šlaunelės	1		1
384	15119500-0	Balandžiai	1		1
385	15120000-5	Gyvūnų vilna, kailiai ir odos	1		1
386	15121000-2	Vilna	1		1
387	15122000-9	Gyvūnų kailiai	1		1
388	15123000-6	Gyvūnų odos	1		1
389	15124000-3	Paukščių odos ir plunksnos	1		1
390	15130000-8	Mėsos gaminiai	1		1
391	15131000-5	Mėsos konservai ir gaminiai	1		1
392	15131100-6	Faršo gaminiai	1		1
393	15131110-9	Faršas	1		1
394	15131120-2	Dešros gaminiai	1		1
395	15131130-5	Dešros	1		1
396	15131131-2	Kepeninės dešros	1		1
397	15131132-9	Jautienos dešros	1		1
398	15131133-6	Kiaulienos dešros	1		1
399	15131134-3	Kraujinės dešros	1		1
400	15131135-0	Paukštienos dešros	1		1
401	15131200-7	Džiovinta, sūdyta, rūkyta ar prieskoniais paskaninta mėsa	1		1
402	15131210-0	Rūkytas kumpis	1		1
403	15131220-3	Bekoniena	1		1
404	15131230-6	Saliamis	1		1
405	15131300-8	Kepenų gaminiai	1		1
406	15131310-1	Kepenų paštetas	1		1
407	15131320-4	Žąsų ar ančių kepenėlių gaminiai	1		1
408	15131400-9	Kiaulienos produktai	1		1
409	15131410-2	Kumpis	1		1
410	15131420-5	Mėsos kukuliai	1		1
411	15131490-6	Paruošti kiaulienos patiekalai	1		1
412	15131500-0	Paukštienos produktai	1		1
413	15131600-1	Jautienos ir veršienos produktai	1		1
414	15131610-4	Jautienos kukuliai	1		1
415	15131620-7	Malta jautiena	1		1
416	15131640-3	Jautienos mėsainiai	1		1
417	15131700-2	Mėsos gaminiai	1		1
418	15200000-0	Paruošta ir konservuota žuvis	1		1
419	15210000-3	Žuvies filė, žuvies kepenėlės ir ikrai	1		1
420	15211000-0	Žuvies filė	1		1
421	15211100-1	Šviežia žuvies filė	1		1
422	15212000-7	Žuvų ikrai	1		1
423	15213000-4	Žuvies kepenėlės	1		1
424	15220000-6	Sušaldyta žuvis, žuvies filė ir kiti žuvies produktai	1		1
425	15221000-3	Sušaldyta žuvis	1		1
426	15222000-0	Sušaldyta žuvies filė	1		1
427	15223000-7	Sušaldyti žuvies gabaliukai kepsniui	1		1
428	15229000-9	Sušaldyti žuvies produktai	1		1
429	15230000-9	Vytinta arba sūdyta žuvis, užpilta sūrimu žuvis, rūkyta žuvis	1		1
430	15231000-6	Vytinta žuvis	1		1
431	15232000-3	Sūdyta žuvis	1		1
432	15233000-0	Žuvis, užpilta sūrymu	1		1
433	15234000-7	Rūkyta žuvis	1		1
434	15234100-8	Rūkyta lašiša	1		1
435	15234200-9	Rūkyta silkė	1		1
436	15234300-0	Rūkytas upėtakis	1		1
437	15235000-4	Konservuota žuvis	1		1
438	15240000-2	Žuvies konservai ir kita paruošta ar konservuota žuvis	1		1
439	15241000-9	Prieskoniais pabarstyta, konservuota žuvis arba žuvies konservai	1		1
440	15241100-0	Lašišos konservai	1		1
441	15241200-1	Paruošta arba konservuota silkė	1		1
442	15241300-2	Sardinės	1		1
443	15241400-3	Tuno konservai	1		1
444	15241500-4	Skumbrė	1		1
445	15241600-5	Ančiuviai	1		1
446	15241700-6	Žuvies piršteliai	1		1
447	15241800-7	Prieskoniais apibarstyti žuvies gaminiai	1		1
448	15242000-6	Paruošti žuvies patiekalai	1		1
449	15243000-3	Žuvies gaminiai	1		1
450	15244000-0	Ikrai ir ikrų pakaitailai	1		1
451	15244100-1	Ikrai	1		1
452	15244200-2	Ikrų pakaitalai	1		1
453	15250000-5	Jūros gėrybės	1		1
454	15251000-2	Šaldyti vėžiagyviai	1		1
455	15252000-9	Paruošti arba konservuoti vėžiagyviai	1		1
456	15253000-6	Kiautuotųjų vėžiagyvių gaminiai	1		1
457	15300000-1	Vaisiai, daržovės ir panašūs produktai	1		1
458	15310000-4	Bulvės ir bulvių produktai	1		1
459	15311000-1	Šaldytos bulvės	1		1
460	15311100-2	Bulvių traškučiai arba bulvių šiaudeliai	1		1
461	15311200-3	Griežinėliais arba kubeliais supjaustytos ir kitos sušaldytos bulvės	1		1
462	15312000-8	Bulvių produktai	1		1
463	15312100-9	Tirpi bulvių košė	1		1
464	15312200-0	Apkepti bulvių šiaudeliai	1		1
465	15312300-1	Bulvių traškučiai	1		1
466	15312310-4	Prieskoniais paskaninti bulvių traškučiai	1		1
467	15312400-2	Bulvių užkandžiai	1		1
468	15312500-3	Bulvių kroketai	1		1
469	15313000-5	Perdirbtos bulvės	1		1
470	15320000-7	Vaisių ir daržovių sultys	1		1
471	15321000-4	Vaisių sultys	1		1
472	15321100-5	Apelsinų sultys	1		1
473	15321110-8	Koncentruotos apelsinų sultys	1		1
474	15321200-6	Greipfrutų sultys	1		1
475	15321300-7	Citrinų sultys	1		1
476	15321400-8	Ananasų sultys	1		1
477	15321500-9	Vynuogių sultys	1		1
478	15321600-0	Obuolių sultys	1		1
479	15321700-1	Nekoncentruotų sulčių mišiniai	1		1
480	15321800-2	Koncentruotos sultys	1		1
481	15322000-1	Daržovių sultys	1		1
482	15322100-2	Pomidorų sultys	1		1
483	15330000-0	Vaisiai ir daržovės	1		1
484	15331000-7	Perdirbtos daržovės	1		1
485	15331100-8	Šviežios arba sušaldytos daržovės	1		1
486	15331110-1	Perdirbti šakniavaisiai	1		1
487	15331120-4	Perdirbti šakniagumbiai	1		1
488	15331130-7	Pupos, žirniai, pipirai, pomidorai ir kitos daržovės	1		1
489	15331131-4	Perdirbtos pupelės	1		1
490	15331132-1	Perdirbti žirniai	1		1
491	15331133-8	Išaižyti žirniai	1		1
492	15331134-5	Perdirbti pomidorai	1		1
493	15331135-2	Perdirbti grybai	1		1
494	15331136-9	Perdirbti pipirai	1		1
495	15331137-6	Sojos pupelių daigai	1		1
496	15331138-3	Valgomieji trumai	1		1
497	15331140-0	Lapinės ir kopūstinių šeimos daržovės	1		1
498	15331142-4	Perdirbti kopūstai	1		1
499	15331150-3	Perdirbti ankštiniai augalai	1		1
500	15331170-9	Sušaldytos daržovės	1		1
501	15331400-1	Konservuotos daržovės arba daržovių konservai	1		1
502	15331410-4	Pupelės pomidorų padaže	1		1
503	15331411-1	Skrudintos pupelės	1		1
504	15331420-7	Konservuoti pomidorai	1		1
505	15331423-8	Pomidorų konservai	1		1
506	15331425-2	Pomidorų tyrė	1		1
507	15331427-6	Koncentruota pomidorų tyrė	1		1
508	15331428-3	Pomidorų padažas	1		1
509	15331430-0	Grybų konservai	1		1
510	15331450-6	Perdirbtos alyvuogės	1		1
511	15331460-9	Daržovių konservai	1		1
512	15331461-6	Raugintų kopūstų konservai	1		1
513	15331462-3	Žirnių konservai	1		1
514	15331463-0	Konservuotos išlukštentos pupelės	1		1
515	15331464-7	Konservuotos nelukštentos pupelės	1		1
516	15331465-4	Šparagų konservai	1		1
517	15331466-1	Alyvuogių konservai	1		1
518	15331470-2	Saldieji kukurūzai	1		1
519	15331480-5	Konservuotos neilgam laikymui daržovės	1		1
520	15331500-2	Su actu konservuotos daržovės	1		1
521	15332000-4	Perdirbti vaisiai ir riešutai	1		1
522	15332100-5	Perdirbti vaisiai	1		1
523	15332140-7	Perdirbti obuoliai	1		1
524	15332150-0	Perdirbtos kriaušės	1		1
525	15332160-3	Perdirbti bananai	1		1
526	15332170-6	Rabarbarai	1		1
527	15332180-9	Melionai	1		1
528	15332200-6	Džemai ir marmeladai, vaisių drebučiai, vaisių ar riešutų tyrės ir pastos	1		1
529	15332230-5	Marmeladai	1		1
530	15332231-2	Apelsinų marmeladas	1		1
531	15332232-9	Citrinų marmeladas	1		1
532	15332240-8	Vaisių drebučiai	1		1
533	15332250-1	Vaisių pastos	1		1
534	15332260-4	Riešutų pastos	1		1
535	15332261-1	Žemės riešutų kremas	1		1
536	15332270-7	Vaisių tyrės	1		1
537	15332290-3	Džemai	1		1
538	15332291-0	Abrikosų džemas	1		1
539	15332292-7	Mėlynių džemas	1		1
540	15332293-4	Juodųjų serbentų džemas	1		1
541	15332294-1	Vyšnių džemas	1		1
542	15332295-8	Aviečių džemas	1		1
543	15332296-5	Braškių džemas	1		1
544	15332300-7	Perdirbti riešutai	1		1
545	15332310-0	Skrudinti ar sūdyti riešutai	1		1
546	15332400-8	Konservuoti vaisiai	1		1
547	15332410-1	Džiovinti vaisiai	1		1
548	15332411-8	Perdirbti serbentai	1		1
549	15332412-5	Perdirbtos razinos	1		1
550	15332419-4	Sultana veislės razinos	1		1
551	15333000-1	Šalutiniai daržovių produktai	1		1
552	15400000-2	Gyvulinis ir augalinis aliejus ir riebalai	1		1
553	15410000-5	Neapdorotas gyvulinis ar augalinis aliejus ir riebalai	1		1
554	15411000-2	Gyvulinis ar augalinis aliejus	1		1
555	15411100-3	Augalinis aliejus	1		1
556	15411110-6	Alyvuogių aliejus	1		1
557	15411120-9	Sezamo sėklų aliejus	1		1
558	15411130-2	Žemės riešutų aliejus	1		1
559	15411140-5	Kokosų aliejus	1		1
560	15411200-4	Maistinis aliejus	1		1
561	15411210-7	Kepamasis aliejus	1		1
562	15412000-9	Riebalai	1		1
563	15412100-0	Gyvuliniai riebalai	1		1
564	15412200-1	Augaliniai riebalai	1		1
565	15413000-6	Augalinių riebalų arba aliejų kietosios liekanos	1		1
566	15413100-7	Išspaudos	1		1
